,title,view,like,unlike,comment,date,token2
0,['왜 개훌륭에서는 세나개때랑 교육방법이 달라요'],408415,12000,158,2016,2020.11.24,"['교육', '방법']"
1,['손가락 물렸다면 절단 사고' 나는 너만 있으면 돼 강형욱 훈련사 내 강아지의 공격성],1084428,8000,215,806,2020.11.20,"['사고', '훈련', '공격성', '손가락', '절단', '강아지']"
2,['너 미쳤어 강형욱 극대노한 이유 3개월 카네코르소와 대도시 노부부 가족 | 강형욱의 멍스쿨'],3991976,31000,19000,,2020.11.13,"['스쿨', '대도시', '가족', '노부부', '극대', '이유']"
3,['안녕하세요 훈련사 강형욱입니다'],308762,8400,100,1039,2020.11.7,"['훈련', '하세', '안녕']"
4,['강형욱이 탐낸 천재견 신비의 견종 3개월 파라오 하운드와 저 세상 터그놀이 | 강형욱의 멍스쿨'],6817420,58000,1700,4039,2020.11.6,"['놀이', '스쿨', '천재', '하운드', '비의', '세상']"
5,['사료 앞에서 절하는 강아지 (유교견 그랜절)｜강플릭스 KANGFLIX'],111086,2000,22,151,2020.11.4,"['유교', '강아지', '사료']"
6,['일촉즉발 정신 놓고 짖는 화이트 슈나우저 하나｜내 강아지의 공격성 The aggression of my dog'],226731,3100,96,269,2020.11.1,"['즉발', '정신', '공격성', '화이트', '강아지']"
7,['먹을 걸 물고 다니는데 한 곳에서 먹게 할 수 없나요｜강형욱의 소소한 Q&A'],56484,1300,8,381,2020.10.28,['소한']
8,['완전 기초부터 배우는 노즈워크 후각활동 놀이방법(강아지 조절력과 자제력 키우기 아이도 함께 배우는 교육)'],53210,1600,16,175,2020.10.24,"['놀이', '방법', '기초', '조절력', '워크', '교육', '활동', '아이', '자제력', '완전', '노즈', '후각', '강아지']"
9,['바람의 파이터 강아지 와이라노 Whyrano｜강플릭스 KANGFLIX'],63907,1400,25,122,2020.10.21,"['와이', '파이터', '바람', '강아지']"
10,['산책 처음하거나 도시에 사는 어린 강아지를 위한 필수 교육 팁 (사모예드 구름)강형욱의 멍스쿨 초보 보호자'],60345,1200,14,98,2020.10.19,"['필수', '스쿨', '도시', '교육', '구름', '초보', '사모예드', '보호자', '처음', '강아지']"
11,['전화벨이 울리면 짖는데 전화 온 걸 알려주는 건가요｜강형욱의 소소한 Q&A'],59375,1300,13,262,2020.10.14,"['전화벨', '전화', '가요', '소한']"
12,['돈 터치 미 귀여워도 나를 만질 수 없어 -- (믹스견 바바)강형욱의 멍스쿨 초보 보호자'],890871,7600,126,637,2020.10.12,"['스쿨', '초보', '믹스', '터치', '보호자']"
13,['닫힌 문틈 사이로 킁킁대는데 이유가 있나요｜강형욱의 소소한 Q&A'],89933,2200,17,314,2020.10.7,"['사이', '소한', '문틈', '이유']"
14,['기다려 교육 단골 실수 이렇게 하면 안 돼요(사모예드 구름)강형욱의 멍스쿨 초보 보호자'],203299,3400,39,297,2020.10.5,"['실수', '스쿨', '교육', '구름', '초보', '사모예드', '보호자', '단골']"
15,['명절에 이동할 때 강아지도 데려가는 게 좋나요｜강형욱의 소소한 Q&A'],132157,2500,23,324,2020.9.29,"['소한', '이동', '명절', '강아지']"
16,['벌써 자기 방 있는 강아지 내가 쉬는 내 켄넬이야 (믹스견 바바)강형욱의 멍스쿨 초보 보호자'],102093,1800,10,139,2020.9.28,"['스쿨', '초보', '믹스', '내가', '보호자', '강아지']"
17,['친척 집에서도 편히 쉬는 방법 + 명절에 개를 버린다고 (추석&설날 명절 고민)'],68590,1500,25,196,2020.9.25,"['방법', '설날', '명절', '추석', '고민', '친척']"
18,['[보듬 코담요] 노즈워크 후각 활동 왜 필요할까'],41472,914,12,103,2020.9.24,"['담요', '워크', '활동', '필요', '노즈', '후각']"
19,['강아지도 명절 증후군이 있나요｜강형욱의 소소한 Q&A'],43931,1200,13,183,2020.9.23,"['증후군', '소한', '명절', '강아지']"
20,['강아지 자동차 스트레스 줄이는 방법 폭스바겐 광고주님이 싫어 할 영상 (추석&설날 명절 고민)'],71837,1700,20,215,2020.9.21,"['방법', '영상', '설날', '명절', '추석', '스트레스', '고민', '광고주', '자동차', '강아지']"
21,['명절 음식 주는 친척 대처법 강아지가 먹어도 될까 (추석&설날 고민)'],69041,1900,25,277,2020.9.18,"['음식', '대처법', '설날', '명절', '추석', '고민', '친척', '강아지']"
22,['몸에 올라와 자는 강아지 이유가 있나요｜강형욱의 소소한 Q&A'],723988,8900,108,941,2020.9.16,"['이유', '소한', '강아지']"
23,['코로나19에 대처하는 보호자와 반려견(코로나산책실내놀이임시보호소)'],64397,1900,23,311,2020.9.11,"['놀이', '반려', '실내', '보호소', '코로나', '임시', '대처', '보호자', '산책']"
24,['몹시 기뻐하는 표정 맞음｜강플릭스 KANGFLIX'],345093,6600,67,695,2020.9.9,['표정']
25,['(+골드버튼 언박싱) 강형욱을 놀라게 한 편지'],235034,6500,65,438,2020.9.4,"['편지', '버튼', '골드']"
26,['사람이 밥 먹을 때 똥 싸는 개｜응가 후 마구 짖는 강아지 치우라는 건가요｜강형욱의 소소한 Q&A'],67595,1600,17,347,2020.9.2,"['사람', '소한', '가요', '응가', '치우', '강아지']"
27,['얼음 땡 놀이로 발 깨무는 강아지 탈출하기 (웰시 코기 토리)강형욱의 멍스쿨 초보 보호자'],124735,2900,22,237,2020.8.31,"['놀이', '스쿨', '토리', '초보', '탈출', '얼음', '보호자', '강아지']"
28,['진돗개도 장모종이 있다'],108209,2200,32,253,2020.8.28,"['모종', '진돗개']"
29,['강아지 공포증 너무 무서워요｜강형욱의 소소한 Q&A'],85176,2000,21,547,2020.8.26,"['공포증', '소한', '강아지']"
30,['방석 하나로 어디서든 어렵지 않게 예절교육 3개월 강아지 꼬리 코기 첫 공부 (웰시 코기 토리)강형욱의 멍스쿨 초보 보호자'],162304,3400,29,388,2020.8.24,"['꼬리', '스쿨', '공부', '교육', '토리', '초보', '예절', '보호자', '강아지']"
31,['강아지 인식칩 초보 보호자 배변 실수 (Full버전)｜강형욱의 라이브'],122191,3900,47,353,2020.8.21,"['실수', '버전', '초보', '라이브', '인식', '배변', '보호자', '강아지']"
32,['공직생활한 경찰견 형은 다르다 회사 출근하는 강아지 직원들(레오&로건 편)'],177901,4100,40,180,2020.8.21,"['공직', '경찰견', '회사', '생활', '직원', '출근', '강아지']"
33,['동물의 왕국 덕후 강아지 자연으로 가고 싶니｜TV 텔레비전 보는 개｜강플릭스 KANGFLIX'],62559,1600,15,134,2020.8.19,"['동물', '자연', '왕국', '텔레비전', '강아지']"
34,['왜 저러는 걸까｜배 보이고 자는 강아지 이유가 있나요 ｜강플릭스 KANGFLIX'],935876,14000,198,919,2020.8.14,"['이유', '강아지']"
35,['최근 개물림 사고에 대하여(대형견맹견로트와일러 사고어린이)｜수밤라이브'],468877,12000,110,2044,2020.8.11,"['물림', '최근', '사고', '라이브', '맹견', '어린이']"
36,['강아지가 깨물 때는 정색-_-해라 (웰시 코기 토리)강형욱의 멍스쿨 초보 보호자'],2254117,12000,212,1140,2020.8.9,"['스쿨', '토리', '초보', '정색', '보호자', '강아지']"
37,['생김새 닮은 견종은 성격도 비슷할까｜강형욱 X 이승인 누가'],66254,1300,16,119,2020.8.7,"['성격', '이승', '생김새']"
38,['강조되고 반복되는 소리는 강아지를 불안하게 하나요｜강형욱의 소소한 Q&A'],112960,3400,26,507,2020.8.5,"['소리', '소한', '불안', '강조', '반복', '강아지']"
39,['4개월 워터콜리 물놀이 교육 대참사 (보더 콜리 베리)강형욱의 멍스쿨 초보 보호자'],138808,2200,20,119,2020.8.3,"['참사', '스쿨', '교육', '워터', '초보', '콜리', '보더', '물놀이', '보호자']"
40,['달려드는 초대형견 코카시안 오브차카 어떻게 산책시켜야 할까요｜수밤라이브'],61522,1300,11,197,2020.7.31,"['코카', '오브', '라이브', '초대형', '산책']"
41,['깡팸이 된 깡아지｜기어다니는 강아지 왜 이러나요 ｜강플릭스 KANGFLIX'],185549,4700,41,352,2020.7.29,"['아지', '강아지']"
42,['개린이 보더 콜리 어질리티 신동의 탄생 (보더 콜리 베리)강형욱의 멍스쿨 초보 보호자'],160156,2700,22,188,2020.7.27,"['스쿨', '초보', '보더', '콜리', '탄생', '개린', '보호자']"
43,['초보자가 보더 콜리 리트리버 키워도 되나요｜수밤라이브'],239619,3800,44,591,2020.7.24,"['초보자', '라이브', '보더', '콜리', '트리']"
44,['너무 안 짖는 강아지 문제가 있는 건가요｜강형욱의 소소한 Q&A'],180503,3700,34,748,2020.7.22,"['문제', '가요', '소한', '강아지']"
45,[가끔 '반려견 산책'이 숙제처럼 일처럼 느껴지시나요｜강형욱 X 이승인 누가],200722,3100,45,505,2020.7.20,"['반려', '이승', '산책', '숙제']"
46,['코카 스파니엘 미용&건강 편(크고 통통한 귀)｜강형욱의 견종백과 X 이승인 누가 X 하늘이'],166468,3200,30,467,2020.7.17,"['코카', '건강', '백과', '하늘', '미용', '이승', '스파']"
47,['강아지가 머리맡에서 자는데 이유가 있나요｜강형욱의 소소한 Q&A'],270081,4800,58,748,2020.7.15,"['소한', '이유', '머리맡', '강아지']"
48,['보호자에게 실망하게 되는 금지 사항 강아지 손 교육(보더 콜리 베리)강형욱의 멍스쿨 초보 보호자'],1792784,17000,222,1161,2020.7.13,"['스쿨', '사항', '금지', '실망', '교육', '초보', '보더', '콜리', '보호자', '강아지']"
49,['코카 스파니엘 식욕&성격 편(휴지의 비명감정공감 최고)｜강형욱의 견종백과 X 이승인 누가 X 하늘이'],132032,2700,31,365,2020.7.10,"['코카', '비명', '공감', '휴지', '성격', '감정', '백과', '이승', '하늘', '최고', '식욕', '스파']"
50,['산책 중 갑자기 멈춰 서는 강아지 이유가 있나요｜강형욱의 소소한 Q&A'],228331,4600,40,553,2020.7.8,"['이유', '소한', '강아지']"
51,['타고난 공격성의 반전 믹스견 호두 2부 (2/2)｜내 강아지의 공격성 The aggression of my dog'],261342,3400,71,270,2020.7.6,"['믹스', '반전', '공격성', '호두', '강아지']"
