,title,view,like,unlike,comment,date,token2
0,['눈 맞고 고장난  고양이'],33584,2000,21,144,2020.12.18,['고양이']
1,['미용이 끝나고 아빠가 날 못알아 본다'],56338,2300,38,165,2020.12.15,"['미용', '아빠']"
2,['어쩌다 마주친 그 개'],76045,3200,26,224,2020.12.11,[]
3,['뽁뽁이 지뢰를 설치해 보았다 (귀여움 터짐 주의)'],52041,1900,34,138,2020.12.8,"['설치', '주의', '지뢰']"
4,['귀여운 호빵 맛 좀 보실분'],66242,2600,31,187,2020.12.4,['여운']
5,['집에 하나씩은 있죠 먼지털이개'],83011,3400,39,222,2020.11.30,"['먼지털이', '하나']"
6,['댕댕이와 데이트 어디까지 가봤나요 (Feat 현대프리미엄아울렛 스페이스원)'],37856,1800,23,130,2020.11.27,"['현대', '댕댕이', '프리미엄', '데이트', '스페이스', '아울렛']"
7,['너구리 한마리 몰고 가세요'],705994,21000,657,1551,2020.11.20,"['가세', '구리', '한마리']"
8,['보이지도 않는 간식을 먹는 강아지'],51001,2200,57,171,2020.11.17,"['간식', '강아지']"
9,['흡사 출근 전 내 모습'],180298,5000,128,357,2020.11.12,"['모습', '출근']"
10,['저기요날 좀 웃게 해주겠어요 (웃길려 들어왔다 내 잇몸만 마르고 간다)'],102887,3700,34,234,2020.11.7,['잇몸']
11,['손님바지는 입고 오셔야죠'],76594,2200,32,176,2020.11.4,"['바지', '손님']"
12,['안녕하세요 신인그룹 심쿵원정대 입니다'],89214,3300,44,359,2020.10.30,"['그룹', '하세', '원정대', '안녕', '신인']"
13,['손님 잘못 찾아 오신 것 같은데요'],264856,6600,156,402,2020.10.26,['손님']
14,['자네 날 그냥 지나칠 셈인가'],137829,5800,46,462,2020.10.20,[]
15,['내 귀여움에 내가 항복한다'],477191,11000,176,471,2020.10.15,['항복']
16,[공놀이 파업 선언 했습니다 (공놀이의 '공'포)],52604,2200,32,144,2020.10.12,"['선언', '공놀이', '파업']"
17,['눈 떠 보니 미용 중'],111583,3800,34,173,2020.10.6,['미용']
18,['풍성한 한가위 되세요 :)'],65981,2600,36,161,2020.10.1,['한가위']
19,['엄마는 쓸어 바닥은 우리가 닦을게'],36288,1900,26,148,2020.9.29,"['바닥', '엄마']"
20,['엄마 나 어디까지 참아줘야돼 (너무 커버린 내동생)'],69039,2700,39,140,2020.9.25,['엄마']
21,['( ___ )'],96063,4000,33,294,2020.9.23,[]
22,['인형에 눈 붙이는 알바 했습니다'],64833,2500,30,168,2020.9.19,"['인형', '알바']"
23,['아기 천사들의 마지막 이야기'],47535,2000,21,110,2020.9.18,"['천사', '마지막', '이야기', '아기']"
24,['이별은  또 다른 시작이죠 (구조한 고양이에게 가족을 찾아주었어요)'],48240,1900,43,154,2020.9.16,"['구조', '이별', '고양이', '가족', '시작']"
25,['잡았다 요 심장폭행범'],208254,7100,79,409,2020.9.11,"['심장', '폭행']"
26,['이 집 뱃살 맛집 이네'],90354,3900,29,193,2020.9.9,['뱃살']
27,['사회적 거리두기 댕댕이는 옆에두기'],170613,5600,46,288,2020.9.5,"['거리', '댕댕이', '사회적']"
28,['다음 중 이상한 점을 찾아보세요'],86416,3200,32,194,2020.9.2,"['다음', '이상']"
29,['미용을 하랬더니 식빵을 굽고 있네'],100680,3900,48,212,2020.8.29,"['용을', '식빵']"
30,['길냥이에서 완벽한 집냥이가 된 아기 천사들'],66207,2900,26,159,2020.8.27,"['완벽', '천사', '아기']"
31,['넌 어느 행성에서 왔니'],376523,12000,84,1086,2020.8.22,['행성']
32,['고양이 안고 자는 강아지'],77389,3500,41,170,2020.8.20,"['고양', '강아지']"
33,['무슨 타는 냄새 안나요 너 때문에 내 심장이 타고 있단다'],110660,3900,37,253,2020.8.18,"['심장', '냄새']"
34,['병원에만 오면 눈치가 우사인볼트 급'],68231,2600,45,142,2020.8.16,"['병원', '볼트', '눈치', '사인']"
35,['둘 중 한마리를 선택하세요 (feat밸런스게임)'],213460,6400,81,491,2020.8.12,"['선택', '하세', '게임', '밸런스', '한마리']"
36,['고양이를 재우는 나만의 방법'],89136,3900,30,185,2020.8.9,"['고양이', '방법']"
37,['아니에요 잘못보신거에요 '],1426017,3000,523,1560,2020.8.6,[]
38,['조기교육의 중요성'],89954,3400,63,187,2020.8.3,"['중요성', '교육', '조기']"
39,['슈앤트리 야근 중 / SHU AND TREE live Streaming'],70556,1800,68,115,2020.8.2,['야근']
40,['인절미 녹기 3초 전'],2762529,76000,1300,3917,2020.7.31,['인절미']
41,['자네 나 좀 꺼내주겠나'],102200,3800,49,189,2020.7.28,[]
42,['말이 너무 많은 고양이 '],57995,2100,52,149,2020.7.27,['고양이']
43,['선생님 저도 곰돌이컷 가능한가요'],585080,1000,195,575,2020.7.24,"['곰돌이', '가능', '가요', '선생님']"
44,['미용이 아니라 면도를 해줄뻔 했다'],280043,7200,77,469,2020.7.20,"['면도', '미용']"
45,['꼭꼭 숨어라 하얀양말 보일라'],58575,2700,27,158,2020.7.17,['양말']
46,['(묘생 첫 병원 방문기) 병원가는 걸 즐기는 고양이'],97390,3600,43,165,2020.7.14,"['고양이', '병원', '묘생', '방문기']"
47,['구수한 냄새가 나는 귀여운 누룽지'],161024,6100,55,358,2020.7.11,"['누룽지', '냄새', '구수']"
48,['뭐 봐 나도 좀 같이 보자'],115842,3100,132,218,2020.7.9,['나도']
49,['어떤게 샴푸통 이더라'],71933,2600,42,146,2020.7.8,[]
50,['개라스틴 했어요'],109456,3800,138,249,2020.7.4,[]
51,['너무 귀여워서미안하다'],289466,6300,180,242,2020.7.2,['미안']
52,['고양이 장난감 파괴하는 강아지'],58973,2300,41,163,2020.6.29,"['고양이', '장난감', '파괴', '강아지']"
53,['귀여운맛 솜사탕 제조 과정'],207607,7400,59,398,2020.6.26,"['제조', '과정', '솜사탕']"
54,['강아지미용실에는 털이 얼마나 많을까'],63651,1900,45,105,2020.6.23,"['미용실', '강아지']"
55,['그저 왼손은 거들 뿐 잘도 자는 구나'],101545,3500,41,213,2020.6.21,['왼손']
56,['냥펀치가 이렇게 무섭습니다'],4287879,37000,3800,869,2020.6.20,[]
57,['싸늘하다뒷통수에 냥펀치가 날아와 꽂힌다'],111460,3700,45,207,2020.6.16,['뒷통수']
58,['다시 한번 말하지만 토끼는 미용하지 않습니다'],3753357,85000,1100,4476,2020.6.12,"['토끼', '미용', '한번']"
59,['괜찮아 다 잘될꺼야'],226942,7400,153,397,2020.6.9,[]
60,['토끼도 미용하냐는 댓글은 거절합니다'],785079,21000,262,1284,2020.6.4,"['토끼', '미용', '거절']"
61,['강아지에게 애교 부리는 고양이'],90388,3200,39,153,2020.5.31,"['고양이', '애교', '강아지']"
62,['산책 온거 아니였어'],168639,6000,59,387,2020.5.27,[]
63,['댕댕이들 사이에 껴서 적응 중인 아깽이'],142627,4700,56,253,2020.5.23,"['중인', '적응', '댕댕이', '깽이', '사이']"
64,['오늘도 엄마는 참을 인(忍)을 새긴다'],94574,2900,57,169,2020.5.20,"['오늘', '엄마']"
65,['누구냐 넌'],147882,6800,58,368,2020.5.16,[]
66,['아이라인은 좀 더 크면 그리자'],702816,18000,169,1097,2020.5.13,"['라인', '아이']"
67,['자네 요즘 유치원에서 힘든건 없고 (놀이터에서 만난 동년배 친구)'],69879,2500,27,151,2020.5.10,"['놀이', '동년배', '친구', '요즘', '유치원']"
