,title,view,like,unlike,comment,date,token2
0,['고양이만 보면 난리남'],465003,21000,1000,2752,2020.12.17,"['고양이', '난리']"
1,['자기 집 철거당하는 걸 보고 당황한 고양이'],693332,28000,113,3129,2020.12.14,"['고양이', '당황', '철거']"
2,['무 전용 스크래쳐를 만들어 보았다'],501766,25000,85,3314,2020.12.10,['전용']
3,['촬영 방해하는 고양이'],390181,2000,73,2888,2020.12.7,"['방해', '고양이', '촬영']"
4,['자꾸 사라지는 야통이를 추적해보았다'],540331,24000,104,3455,2020.12.4,['추적']
5,['삼색이 집 꾸미기 [고양이 반자동 화장실 만들기]'],517701,22000,127,3716,2020.12.1,"['만들기', '꾸미기', '고양이', '반자동', '화장실', '삼색']"
6,['길막이 출연 빈도가 적어서 올리는 길막이 영상'],443784,23000,82,2417,2020.11.27,"['출연', '막이', '영상', '길막이', '빈도']"
7,['이 녀석을 이뻐하지 마시오'],765563,29000,179,6373,2020.11.24,[]
8,['처음으로 고양이 발톱을 깎아보았다'],811712,33000,125,4572,2020.11.19,"['고양이', '처음', '발톱']"
9,['매우 당황한 삼색이'],696873,25000,136,2871,2020.11.15,"['당황', '삼색']"
10,['자연스러운 홍보를 위한 vlog'],513931,2000,104,4686,2020.11.11,"['자연', '홍보']"
11,['고양이 침대 만들기'],654969,31000,144,3566,2020.11.8,"['고양이', '만들기', '침대']"
12,['래기는 외롭지 않다'],537280,26000,83,2314,2020.11.3,[]
13,['무 근황'],1029181,46000,128,6082,2020.10.31,['근황']
14,['작아진 야통이'],546981,21000,74,2913,2020.10.29,[]
15,['건물주 삼색이'],834001,33000,173,5511,2020.10.24,"['건물주', '삼색']"
16,['무가 병원에 다녀왔다'],1198234,16000,63,9105,2020.10.17,"['병원', '무가']"
17,['야통이 운동시키기'],543928,21000,64,2837,2020.10.7,['운동']
18,['조금 큰 고양이 집을 짓기로 했다'],760724,24000,129,2468,2020.10.3,['고양이']
19,['그냥 똥 싸러 왔을 뿐인 무'],445623,17000,63,2234,2020.9.30,[]
20,['오늘따라 유난히 심심한 삼색이'],452965,19000,67,1779,2020.9.27,"['삼색', '오늘']"
21,['래기가 또 부상을 당했다'],551314,19000,91,2238,2020.9.23,['부상']
22,['고양이의 숭어먹방 (삼색이와 무의 ASMR)'],489894,17000,101,2731,2020.9.20,"['고양이', '숭어', '삼색']"
23,['놀아주지 않을 이유가 없었다'],394234,18000,82,1680,2020.9.17,['이유']
24,['고양이들이 몰래 집에 들어올때 사용하는 개구멍을 발견했다'],809611,25000,118,3401,2020.9.12,"['고양이', '개구멍', '발견', '사용']"
25,['혼자 놀기 좋아하는 수다쟁이 Marilyn'],540668,21000,78,2753,2020.9.8,"['수다', '혼자']"
26,['베란다에 고양이가 나타났다는 제보를 받았다'],737999,23000,107,3214,2020.9.4,"['고양이', '제보', '베란다']"
27,['가수해도 될 것 같은 야통이의 이얏호응'],886621,32000,105,3195,2020.9.1,"['가수', '이의', '호응']"
28,['저 멀리서 삼색이의 목소리가 들렸다'],415372,18000,89,2099,2020.8.28,"['삼색', '목소리']"
29,['왠지 그럴 것 같았다'],503331,18000,104,2086,2020.8.24,[]
30,['삼색이가 나를 부른다'],771695,31000,122,3961,2020.8.22,['삼색']
31,['연님이가 삼색이 영역을 빼앗고 있다'],522765,17000,156,4394,2020.8.19,"['삼색', '영역']"
32,['계속되는 비로 촬영을 못 하고 있다'],413163,18000,99,1976,2020.8.17,"['비로', '계속', '촬영']"
33,['어쩔 수 없이 놀아줬다'],725925,26000,101,3625,2020.8.12,[]
34,['무와 래기 잠자는 동안 많은 댓글 달아주세요'],466742,19000,149,21538,2020.8.8,"['잠자는', '동안', '주세']"
35,['폭우로 양어장은 물바다가 됐지만 고양이는 무사하다'],1068559,31000,168,3551,2020.8.6,"['물바다', '폭우', '양어장', '고양이', '무사']"
36,['고양이들이 살 찔 틈이 없다'],569481,2000,94,2141,2020.8.4,['고양이']
37,['야통이의 새로운 목소리'],883448,3000,123,3123,2020.7.30,"['이의', '목소리']"
38,['진흙 투성이가 됐지만 실패했다'],569702,19000,95,2495,2020.7.27,['실패']
39,['삼색이 가족과 길막이 가족은 앙숙이 아니었나보다(feat 카카오톡)'],459367,17000,84,2369,2020.7.24,"['막이', '앙숙', '가족', '카카오', '삼색']"
