,title,view,like,unlike,comment,date,token2
0,연말에 집콕하며 보기 좋은 메이크업  Makeup Transformation,25170,828,13,,2020.12.4,"['메이크업', '연말']"
1,삶의 질 수직상승 | 다이어트와 우울증에 도움을 준 제품들 추천,76562,2100,14,509,2020.11.27,"['수직', '상승', '우울증', '제품', '추천', '도움', '다이어트']"
2,-15kg 고도비만 다이어트 | 현실적인 식단  홈트 TIP,1809226,37000,319,1507,2020.11.22,"['비만', '현실적', '식단', '다이어트', '고도']"
3,틱톡 팁으로만 풀 메이크업 하기  ft 스킨케어 최애템,53102,674,48,96,2020.10.4,"['케어', '메이크업', '스킨']"
4,[ENG] 가을과 여름 사이 뮤트 코랄 메이크업 | bf6f67,70240,1100,35,161,2020.9.14,"['메이크업', '사이', '가을', '여름']"
5,[ENG] 생일주간 브이로그  셀프네일 | 남자친구랑 데이트 | 엄마 네일해주기,60026,741,54,76,2020.8.14,"['브이', '데이트', '엄마', '주간', '로그', '셀프', '친구', '생일', '남자']"
6,[ENG] 마스크 필요없던 시절 핑크브라운 메이크업 겟레디윗미,61753,1100,42,113,2020.7.28,"['브라운', '시절', '핑크', '메이크업', '마스크']"
7,[ENG] 사회적 거리두기 봄나들이 | 무인호텔 호캉스 드라이브 스루 배달의 민족 Social Distancing Vlog,42838,572,71,93,2020.4.17,"['배달', '드라이브', '사회적', '스루', '호텔', '민족', '나들이', '거리']"
8,[ENG] Room Tour | 아늑하고 빈티지한 나의 침실 랜선집들이,23413,481,19,36,2020.4.11,"['침실', '선집', '빈티지', '나의']"
9,진짜 넘 웃기다고요붙임머리 맛집 브이로그 : Beauty Day vlog,30800,350,34,21,2020.3.21,"['브이', '로그']"
10,6년차 뷰티유튜버의 화장대 + 유튜브 작업실 : Beauty + Youtube Room Tour,28504,651,26,29,2020.3.6,"['화장대', '뷰티', '작업실', '튜브']"
11,영롱 그 자체 핑크 글리터 메이크업 : Pink Glitter Makeup,59371,1000,40,99,2020.3.4,"['자체', '핑크', '메이크업']"
12,깔끔 데일리 메이크업 : Everyday Makeup,51064,1100,53,106,2020.2.28,"['데일리', '메이크업']"
13,[ENG] 우울증 폭식증 약 3년만에 끊음 + 뇌진탕 판정까지 | 일상 VLOG,113433,1300,64,261,2019.12.29,"['우울증', '판정', '폭식', '일상', '뇌진탕']"
14,[ENG] 고급미+분위기 뿜뿜  연말 메이크업 - Holiday Makeup GRWM,69878,1300,54,125,2019.12.20,"['연말', '분위기', '메이크업', '고급']"
15,갈비뼈 금가서 정형외과 가는 메이크업 겟레디윗미 : Get Ready With Me ,109139,1900,88,243,2019.11.16,"['갈비뼈', '정형외과', '메이크업']"
16,맥x포니 컬렉션 런칭파티 겟레디윗미 갓포니 영접 ,87978,1400,66,190,2019.10.6,"['컬렉션', '포니', '영접']"
17,최애템 모음  핑크빔 겟레디윗미 : Pink beam GRWM,61660,1100,97,192,2019.9.26,"['핑크', '모음']"
18,[다또아X홀리] 속터지는 사연과 사이다 답변의 콜라보 + 겟레디윗미 ,43248,650,44,76,2019.8.28,"['콜라', '답변', '사연', '사이다']"
19,자연광 생일파티 겟레디윗미 같이 준비해요 -Get Ready With Me + VLOG | 다또아,130943,1800,128,150,2019.7.31,"['자연광', '생일', '준비', '파티']"
20,-10kg 삭센다 다이어트 후기 + 유튜버의 삶 vlog,276517,3100,136,276,2019.7.17,"['다이어트', '후기']"
21,박서준 강소라와의 방송 ♥  + 펑크날뻔한 뒷 이야기,58015,551,75,55,2019.7.6,"['방송', '이야기', '펑크', '소라']"
22,박서준 강소라와 함께하는 Q&A 라이브 ,119177,363,30,32,2019.6.24,"['라이브', '소라']"
23,연어 머리로 변신 + bj임다와 밥버거의 만남,131155,2700,64,244,2019.6.2,"['연어', '머리', '만남', '변신']"
24,다또아 근황 (벤츠 판 썰) + 데일리 메이크업 같이 준비해요 -Get Ready With Me | 다또아,495042,13000,419,1742,2019.5.25,"['메이크업', '벤츠', '데일리', '근황', '준비']"
25,다또아 다시 시작,426361,15000,429,2154,2019.5.16,['시작']
26,9900원에 립필러 맞은듯한 효과를 페북 핫템 핫토미 리뷰 ,508605,3800,698,824,2018.3.30,"['효과', '리뷰', '필러']"
27,입생로랑 조르지오 아르마니 저렴이 : 클리오 신상 짱짱 추천 리뷰  다또아,158921,2000,474,555,2018.3.10,"['마니', '생로', '리뷰', '추천', '신상']"
28,(나눔이벤트) 인스타여신 따라 잡는 셀카 메이크업 ,283775,3200,909,3558,2018.2.14,"['스타', '여신', '메이크업', '이벤트']"
