,title,view,like,unlike,comment,date,token2
0,오랜만에 일상 브이로그 :: 파우치털어보기 / 요즘 읽는 책 & 플레이리스트 / 식물 선생님들 모셔오기 / 고구마김치,143058,1900,27,,2020.12.12,"['오랜만', '김치', '오기', '브이', '요즘', '리스트', '식물', '고구마', '플레이', '파우치', '선생님', '일상', '보기']"
1,분위기 난리나버린 인스타그램 메이크업 (feat 겨울철 스킨케어템 추천) :: INSTAGRAM MAKEUP,183708,2100,52,175,2020.11.30,"['케어', '추천', '분위기', '겨울철', '메이크업', '스킨', '난리', '그램']"
2,이 영상 하나면 연말파티 인생사진 그냥 건짐 연말 주인공이 되어버리는 연말 메이크업 ::  Holiday Makup,207359,2900,66,202,2020.11.29,"['파티', '연말', '인생', '사진', '주인공', '영상', '메이크업']"
3,드디어 롬앤 신상리뷰 신상쿠션으로 모공+블랙헤드+붉은기 완벽커버 해보기 :: K-beauty Makeup,203500,2500,63,198,2020.11.23,"['커버', '모공', '헤드', '쿠션', '붉은기', '블랙', '완벽', '신상', '리뷰']"
4,VLOG - 허세샷 찍는방법 대공개+아이패드 드로잉+눈썹염색 그리고 드디어 화장품 제작 스포(),171442,2000,55,159,2020.11.14,"['패드', '화장품', '방법', '공개', '드로잉', '제작', '염색', '눈썹']"
5,Are you sure you're the same person :: 가을 끝을 마무리하는 메이크업,158114,2200,36,157,2020.10.30,"['가을', '메이크업', '마무리']"
6,VLOG - 요즘스킨케어+노파데 메이크업+헤어스타일링 그리고 조파파 진짜 은퇴했습니다별거없는 브이로그,223287,3400,70,230,2020.10.25,"['케어', '은퇴', '요즘', '브이', '메이크업', '헤어스타일', '노파', '별거', '파파', '스킨']"
7,(eng) 오늘은청순해져볼게요노렌즈 네추럴 무드 메이크업:: NATURAL MOOD MAKEUP,243694,3500,86,305,2020.10.14,"['오늘', '청순', '무드', '메이크업']"
8,분위기 난리나버린 가을브라운 메이크업 :: BROWN MLBB MAKEUP,470327,8500,161,587,2020.10.7,"['분위기', '메이크업', '난리', '가을', '브라운']"
9,(꿀팁가득) 수지 담당쌤한테 청순 메이크업 받아 봤습니다 (+수지 헤어 담당쌤한테도 머리 받음 & 청담여신 메이크업),1208778,15000,336,844,2020.9.29,"['여신', '헤어', '수지', '머리', '청담', '청순', '담당', '메이크업']"
10,눈 2배로 커보이는 가을무드 메이크업 같이 준비해요  (feat웨이크메이크 신상팔레트 리뷰) :: Fall Daily Makeup Tutorial,403450,6600,104,394,2020.9.27,"['준비', '웨이크', '팔레트', '메이', '무드', '가을', '메이크업', '리뷰']"
11,가을신상템으로 분위기 끝나는 베이지 메이크업 같이 준비해요 :: Autumn daily makeup,508714,8200,168,579,2020.9.22,"['베이지', '분위기', '준비', '가을', '메이크업', '신상']"
12,(꿀잼보장) 쨔미쓰의 첫 차박 캠핑 도전 노을지는 바닷가 앞에서 랜선힐링 함께해요(feat 마몽드 콜라보),208042,2600,71,216,2020.9.15,"['바닷가', '도전', '콜라', '노을', '보장', '캠핑']"
13,VLOG 오랜만에 피아노도 치고 드라이브도 하고 집밥 해먹고 혼자 시간보내는 브이로그,156293,2700,53,392,2020.9.12,"['오랜만', '브이', '시간', '피아노', '드라이브', '혼자']"
