,title,view,like,unlike,comment,date,token2
0,머리 붙였다!  오랜만에 풀 메이크업 하고 *언택트* 청년든든 페스티벌에 다녀왔어요 겟레디윗미,168319,2800,44,262,2020. 12. 10.,['메이크업' '오랜만' '머리' '페스티벌' '택트' '청년']
1,없으면 못살았다 2020년 삶의 질 수직상승 아이템 10종 소개! 가성비 생활용품 꼭 사세요.,240806,5200,61,310,2020. 12. 7.,['아이템' '용품' '상승' '생활' '수직' '소개' '가성']
2,고오오급(?) 사각팬티 리뷰 2탄  댓글에서 추천한거 다 사봄 (네모팬티 자유브라 톤포투 이나타 러브미모스트 etc),194161,4400,37,573,2020. 12. 1.,['팬티' '자유' '러브' '사각' '미모' '리뷰' '추천' '네모']
3,2020 홀리데이화장품 뭐살까김칫국 마시기 리뷰 !!,176928,3600,82,207,2020. 11. 20.,['김칫국' '시기' '화장품' '리뷰' '데이']
4,1011월 씨딩사무실 택배 겁나많음! 2020 홀리데이? 겨울용 기초 fw 립제품이 잔뜩 나왔다 신난다아,140655,2700,39,152,2020. 11. 15.,['기초' '택배' '데이' '사무실' '제품']
5,[릴카씬님] 겨울왕국 엘사 잭 프로스트 메이크업 (for 할로윈),125673,2600,15,215,2020. 11. 1.,['왕국' '메이크업' '할로윈' '겨울' '로스트']
6,대폭소우르슬라 ㅋㅋㅋㅋㅋㅋ 할로윈 메이크업 ㅋㅋㅋㅋㅋㅋ  (feat.허예은),176757,4700,33,441,2020. 10. 29.,['할로윈' '메이크업' '허예' '소우']
7,"매번 편지 보내주는 ""브랜드 담당자"" 역조공드리러 아모레 본사에 감 ㅋㅋㅋ",128089,2800,29,144,2020. 10. 24.,['담당자' '본사' '편지' '아모레' '브랜드' '조공']
8,로드샵 원브랜드 메이크업 : 페리페라 | SSIN,311962,6500,96,462,2020. 10. 22.,['메이크업' '브랜드' '페리']
9,언뉘 룩북  처음  찍어봄 ....... ;;;;;;; ㅋㅋㅋㅋ (허리 32 하이틴 재질 메이크업),377644,6400,91,510,2020. 10. 16.,['메이크업' '하이틴' '허리' '처음' '재질']
10,[아내의맛 보너스] 씬님 x 중국마마 케미폭팔 패왕별희 변신! 워아이니마마!!,58134,1700,36,121,2020. 10. 8.,['마마' '아내' '보너스']
11,※음주리뷰※ 추석 팬티 파티엄마 외숙모 그리고 팬티 20장ㅋㅋㅋㅋㅋㅋㅋ,110908,2400,26,237,2020. 10. 5.,['팬티' '엄마' '추석' '리뷰' '음주' '외숙모' '파티']
12,[씬님 x 에이핑크 남주] 오늘 그냥 화장 꼭 해야돼요....?ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,181551,3600,61,250,2020. 9. 25.,['오늘' '에이' '핑크' '화장']
13,89월 씨딩몸닦는 패드! 존예 립스틱 발견? 사무실 협찬박스 열어보기!,122638,2300,35,173,2020. 9. 18.,['립스틱' '패드' '보기' '사무실' '박스' '발견' '협찬']
