,title,view,like,unlike,comment,date,token2
0,['괴식대첩 死탄 죽여주는() 겨울철 괴식으로 특별 괴스트들을 감동시켜랏 특집 '],532021,9900,338,2514,2020.12.19,"['겨울', '감동', '특집', '특별', '대첩']"
1,[(좌우토론) '한국에 좀비사태 발생시 어떤 물건이 제일 쓸모없을까' 로 쓸데없는 토론하기 ],662034,12000,446,1941,2020.12.15,"['한국', '좌우', '토론', '물건', '발생', '사태']"
2,[24시간 굶고 미치기 직전 내기해서 '이긴사람만' 치킨먹기 ],791948,13000,559,2194,2020.12.11,"['직전', '내기', '치킨', '시간', '사람']"
3,['학창시절 서로 잘나갔다고 우기는 90년대생들의 추억의 게임 대결 '],844947,14000,346,4327,2020.12.7,"['대결', '추억', '학창', '시절', '게임', '대생']"
4,['보물섬 세명중에 드립 최강자를 뽑아라 제1회 보물섬배 드립능력 경시대회 내전'],623468,12000,474,1438,2020.12.5,"['명중', '최강자', '내전', '드립', '대회', '경시', '능력']"
5,['초리얼 ASMR로 강민석 꿀잠자게 해주기민석아 왜 안자'],587212,12000,226,1584,2020.11.30,"['초리', '주기']"
6,['여유로운척 쩌는 김동현 뇌파탐지기 끼우고 참교육하기 '],658905,12000,330,1405,2020.11.28,"['뇌파', '탐지기', '여유', '참교육']"
7,['안 말리면 계속 먹는 이현석 따라다니면서 듣기 싫은 잔소리로 밥맛 떨어지게 하기 '],924559,15000,402,1835,2020.11.24,"['잔소리', '하기']"
8,['어떤 비열한 반칙도 허용되는 축구경기  반칙왕 선발대회'],724244,13000,518,1473,2020.11.20,"['선발', '축구', '경기', '허용', '대회', '반칙']"
9,['(1 대 5) 5명의 웃음공격을 견뎌라 100만원이 걸린 웃음참기 대결(with 보따싱싱한싱호)'],1014434,15000,569,1733,2020.11.15,"['공격', '대결', '웃음']"
10,['시중에서 못구하는 레전드 물건 등판 청와대 술 가격 후려치기(전당포 사기꾼들)'],859621,13000,490,1230,2020.11.13,"['등판', '사기꾼', '치기', '청와대', '물건', '가격', '전당', '시중']"
11,['개통령 강형욱 분장하고 역대급 막장 보호자 참교육하기(돼지는 훌륭하다)'],960092,18000,487,2163,2020.11.7,"['역대', '보호자', '통령', '분장', '참교육', '막장', '돼지']"
12,['제시가만 무려 2000만원 유재석님이 만진 진용진의 와이셔츠 [전당포 사기꾼들]'],877720,15000,397,1777,2020.11.6,"['재석', '사기꾼', '전당', '진용', '와이셔츠', '시가', '진의']"
13,['(역정색 2탄)심한 장난친 사람이 오히려 극대노 해버리는 역정색 챌린지'],751740,14000,325,1316,2020.10.31,"['장난', '극대', '챌린지', '정색', '사람']"
14,['할로윈 분장하고 멤버들을 깜짝 놀래켜야하는 할로윈 챌린짘'],1086652,18000,469,1231,2020.10.30,"['할로윈', '멤버', '분장']"
15,['참교육을 하면 돈을 준다고 이건 못참지 특집'],1253705,2000,593,2193,2020.10.24,"['참지', '특집', '참교육']"
16,['(예고몰카 2탄) 예고장으로 미리 예고를 하고 조져버리는 예고몰카  괴도퀴두의 귀환'],996627,22000,404,3229,2020.10.23,"['귀환', '예고']"
17,['잘못한 사람이 오히려 화내야하는 역정색 챌린지 '],1051483,18000,447,1979,2020.10.17,"['정색', '사람', '챌린지']"
18,['애장품으로 랜덤박스 만들어서 친구들에게 팔아보기 '],1369173,18000,728,2750,2020.10.16,"['박스', '애장품', '랜덤', '친구', '보기']"
19,['하루종일 뭐든지 랩배틀로 결정하기 랩배틀 하라니까 욕배틀을 하넼'],736393,13000,536,1779,2020.10.10,"['종일', '하루', '결정']"
20,['카페가면 한번쯤 꼭 마주치는 극혐 카페빌런 유형 '],701459,13000,294,1920,2020.10.8,"['유형', '한번쯤', '가면', '카페']"
21,['제 3-2회() 명절괴식을 만들어 상대방을 감동()시켜보아라 추석특집 괴식대첩'],1362056,19000,534,4648,2020.10.4,"['감동', '상대방', '특집', '추석', '명절', '대첩']"
22,['추석 특선 영화 짬뽕 시키기 - 신세계와 함께 타짜와 마법사의돌'],566361,13000,504,2014,2020.10.1,"['신세계', '타짜', '영화', '마법사', '특선', '추석', '짬뽕']"
23,['(웃음참기) 시청자가 준비한 개그동영상을 보고 웃음을 참아라 제1회 전국 우유뿜기 그랑프리 2부'],979738,14000,469,2108,2020.9.29,"['동영상', '전국', '우유', '시청자', '개그', '웃음', '그랑프리', '준비']"
24,['(웃음참기) 시청자가 준비한 개그동영상을 보고 웃음을 참아라 제1회 전국 우유뿜기 그랑프리 1부 '],1190837,18000,761,2367,2020.9.27,"['동영상', '전국', '우유', '시청자', '개그', '웃음', '그랑프리', '준비']"
25,['게임에서 이기면 기부할 수 있는 특권()이 생기는 기부게임(기부니가좋다 - 자영업자편)'],703026,15000,269,1806,2020.9.25,"['부니', '기부', '자영', '업자', '특권', '게임']"
26,['37시간동안 잠 안 잔 상태에서 상대방 잠재우기 대결'],1157967,16000,502,2401,2020.9.19,"['대결', '상대방', '시간', '동안', '상태']"
27,['각자 게임CF 감독이 되어 서로가 만든 광고영상 보며 품평회하기'],1282803,19000,646,2440,2020.9.16,"['각자', '서로', '품평회', '감독', '영상', '게임', '광고']"
28,['이 시국에 여행 못 가서 답답한 친구 집을 해외 여행지로 만들어주기 '],1364991,2000,617,2298,2020.9.13,"['시국', '주기', '여행', '해외', '여행지', '친구']"
29,['갑자기 시작된 밑도끝도 없이 어그로 끌기 챌린지'],1746680,24000,673,2927,2020.9.10,"['그로', '시작', '챌린지']"
30,['선씨게 넘는 악플 읽으면서 강철맨탈 수련하기 '],1236785,26000,863,8044,2020.9.6,"['수련', '강철']"
31,[' 제1회 보물섬배 전국 우유뿜기 그랑프리 '],486084,1000,231,2216,2020.9.3,"['그랑프리', '우유', '전국']"
32,['웃길때까지 물싸대기 맞는 극한의 삼행시 챌린짘'],1621029,19000,573,2507,2020.8.30,"['삼행시', '대기', '극한']"
33,['방귀 뀐놈을 추리로 찾아내는 방구 마피아 방피아게임'],1210383,17000,480,4355,2020.8.28,"['추리', '피아', '마피아', '게임', '방구']"
34,['절대로 맞추기 힘든 난이도의 퀴즈쇼 근데 이걸 맞힌다고'],1373261,19000,653,2827,2020.8.23,"['퀴즈', '도의', '절대', '난이']"
35,['짜증나게 한입씩 뺏어먹는 한입충 버르장머리 고쳐주기^^ 아후련해'],946764,18000,413,3245,2020.8.17,"['한입', '버르장머리']"
36,['장명준 결혼식 사회를 맡게된 김동현 극한의 결혼식 상황극으로 연습()시키기'],1018900,18000,364,1784,2020.8.14,"['상황', '연습', '극한', '사회', '결혼식', '장명']"
37,['(1vs5) 5명의 웃음공격을 견뎌라 100만원이 걸린 웃음참기 대결'],1893358,23000,1100,2767,2020.8.11,"['공격', '대결', '웃음']"
38,['보물섬 173만 기념() 보물섬 Vlog 일상 대 공개'],1041401,19000,338,3584,2020.8.8,"['일상', '기념', '공개']"
39,['음식 맨날 남기는 친구 지옥의 먹사트() 훈련 시키기(먹짜사나이)'],3687964,49000,1700,7286,2020.8.4,"['사나이', '지옥', '친구', '훈련', '음식']"
40,['(5탄)다시 시작된 그치만챌린지 어떤 잘못도 용서 해줘야함'],1290473,19000,490,1869,2020.7.30,"['시작', '챌린지', '잘못', '용서']"
41,['룰렛을 돌려 참교육 당할 제물을 정하는 룰렛참교육 '],1400111,2000,735,2208,2020.7.27,"['룰렛', '제물', '참교육']"
42,['기절할 때까지 놀래키는 공포의 심장마비 몰카 심장마사짘'],2356204,31000,876,3108,2020.7.22,"['마비', '마사', '공포', '심장']"
43,['뮤지컬로 조져야 하는 뮤지컬 참교육 챌린지'],2008692,28000,621,6330,2020.7.19,"['뮤지컬', '챌린지', '참교육']"
44,['충격의 파맛첵스 먹방 도깨비박중헌 봉인된()파라오 호랑이 분장하고 파맛첵스 먹어봤습니다'],778409,12000,351,1523,2020.7.16,"['충격', '봉인', '분장', '도깨비', '호랑이']"
45,['인간이길 포기하고 짐승처럼 먹어야하는 짐승먹방 (eating like a beast)'],821300,15000,853,3574,2020.7.12,"['짐승', '포기', '인간']"
46,['탈모라고 하면 발끈하는 형 탈모라고 지옥 끝까지 놀리깈'],1748062,21000,828,3704,2020.7.9,"['탈모', '지옥']"
47,['제 101회() 그 누구도 삼킬 수 없는 괴식을 만들어라 괴식대첩 '],1389569,29000,611,8377,2020.7.5,['대첩']
48,['다양한 mbti성격유형으로 강민석 조져버리기 '],1491960,21000,697,2608,2020.7.1,"['성격', '다양', '유형']"
49,['드라마 추천해달라고 해놓고 절대 안보는 친구 드라마 내용으로 참교육하기'],2019191,23000,861,2222,2020.6.28,"['내용', '드라마', '추천', '안보', '절대', '참교육', '친구']"
50,['더블비 술집 찾아가서 골드버튼 훔치고 깽판치기'],1436229,21000,1400,2561,2020.6.24,"['버튼', '골드', '술집', '더블']"
51,['갑자기 시작된 웃음참기 자존심 대결아니 이렇게까지한다고 '],1580470,24000,636,3537,2020.6.21,"['대결', '시작', '웃음', '자존심']"
52,['웃으면 얼음물 싸대기 이 무더위를 너네들의 썰렁 개그로 날려버려라 특집 '],1272082,2000,523,2285,2020.6.18,"['대기', '무더위', '개그', '특집', '얼음물']"
53,['뜨겁게 하려는자 vs 춥게 하려는자 창과 방패의 대결 그 결과는'],1700875,23000,866,4197,2020.6.13,"['대결', '결과', '방패']"
54,['김동현한테 실패한 모든 장난 레벨업 해서 다시 조지깈'],2998630,32000,100,3304,2020.6.11,"['실패', '조지', '레벨', '장난']"
55,['제1회 그 누구도 삼킬수 없는 역대급 괴식을 만들어라 괴식대첩 '],2849503,33000,1300,6376,2020.6.8,"['대첩', '역대']"
56,['성대모사 제자키우기 잘못가르친 스승은 빠따쳐맞깈'],973671,15000,426,1972,2020.6.4,"['대모', '제자', '스승']"
57,['눈치 빨라서 장난 피해가는 김동현 지옥 끝까지 따라가 조지깈'],3034703,33000,1300,3565,2020.5.31,"['눈치', '지옥', '피해', '장난']"
58,['생일파티 잔뜩기대하는 친구 온라인()생일파티해주깈'],1594152,23000,445,3183,2020.5.28,"['생일', '파티', '온라인', '기대', '친구']"
59,['무관심한 척 친구를 챙겨줘야 하는 츤데레챌린지를 해보았다 따딱히 널 위해 한게 아니라구'],2412891,33000,948,4976,2020.5.24,"['챌린지', '무관심', '친구']"
60,['(몰카)유튜버가 일반인에게 역몰카를 당한다면'],1326741,25000,628,2410,2020.5.21,['일반인']
61,['보물섬 단편 꽁트 - 관짝춤 (관짝소년단 21세기저승사자)'],6238180,5000,6200,5500,2020.5.18,"['세기', '저승사자', '단편', '소년단']"
