,title,view,like,unlike,comment,date,token2
0,조재원 VS 줄리엔강 신길동 매운 짬뽕 푸파,198477,3400,57,381,2020.12.11,['짬뽕']
1,가짜사나이 훈련 직후 몰카 Feat 밸런스게임,218295,4600,54,392,2020.12.5,"['사나이', '가짜', '훈련', '직후', '게임', '밸런스']"
2,이 날만을 기다렸다 에이전트H 야전삽 짱재의 눈물 '가짜사나이 EP8 최종화 리뷰',287849,5300,73,647,2020.12.3,"['재의', '눈물', '사나이', '가짜', '리뷰', '야전삽', '최종', '에이전트']"
3,야전삽 교관님 털 다 뜯을 뻔한 썰 푼다 '가짜사나이 EP7 리뷰',146751,2300,43,229,2020.12.1,"['야전삽', '교관', '사나이', '가짜']"
4,우결 시켜서 하긴 했는데 Falling in Love 뒷풀이,402488,1800,30,278,2020.11.30,['풀이']
5,작전 중 웃음 참기 챌린지 드디어 터지는 명장면 속 비하인드 '가짜사나이 EP6 리뷰',183284,2900,41,402,2020.11.28,"['장면', '웃음', '사나이', '가짜', '하인드', '챌린지', '작전']"
6,아니 왜 우리집에 니가 있냐고요,586119,9100,237,791,2020.11.27,"['고요', '우리집']"
7,조재원 부활 최초 공개합니다 '가짜사나이 EP5 리뷰' Feat 던밀스,95934,1700,38,236,2020.11.26,"['사나이', '가짜', '최초', '공개', '부활']"
8,꿈에 그리던 여배우님과의 콜라보,146805,2500,56,393,2020.11.21,"['콜라', '과의', '여배우']"
9,다이어트하는 유이 집까지 찾아가서 엽떡으로 극딜하기,874742,12000,407,903,2020.11.18,"['하기', '다이어트']"
10,[MV] 조재원X김유이 Falling,445676,12000,185,1858,2020.11.10,[]
11,여동생 여자친구 우리의 마지막 이야기 Falling in Love EP04,288707,4600,51,711,2020.11.9,"['여자', '마지막', '친구', '이야기', '여동생']"
12,부럽지 Falling in Love EP03,293863,5100,74,806,2020.11.4,[]
13,1일부터 이래도 돼 Falling in Love EP02,647391,1000,137,2108,2020.10.30,[]
14,내 여자친구는 김유이 Falling in Love EP01,1477141,17000,270,3122,2020.10.26,"['여자', '친구']"
15,결국 유이랑 그렇게 되었습니다 Falling in Love EP00,679780,8500,129,1143,2020.10.23,"['이랑', '결국']"
16,지기형 집 강제로 쳐들어가기 Feat 789번 교육생,591350,8300,167,634,2020.10.16,"['교육생', '강제', '지기']"
17,가짜사나이2 영화 개봉,343565,4700,237,960,2020.10.14,"['개봉', '사나이', '영화', '가짜']"
18,보물섬 강민석 사생활 강제 공개,327696,7100,127,559,2020.10.9,"['보물섬', '공개', '사생활', '강제']"
19,퇴교생 조재원 털어놓지 못한 이야기 '가짜사나이 EP2 리뷰',689022,1000,714,2031,2020.10.5,"['사나이', '이야기', '가짜', '교생']"
20,묻어놨던 썰들 유이의 걱정 '가짜사나이 EP1 리뷰',1629229,22000,1800,4302,2020.10.3,"['걱정', '사나이', '가짜', '이의']"
21,교관님들의 선물 클라스,544493,9300,354,590,2020.9.30,"['선물', '교관', '클라']"
22,가짜사나이 다녀오겠습니다,646044,9900,371,1440,2020.9.24,"['사나이', '가짜']"
23,기자님 가짜사나이 면접 후기,106849,1800,83,292,2020.9.18,"['면접', '후기', '기자', '사나이', '가짜']"
24,나 너 좋아하냐,118042,3300,47,440,2020.9.16,[]
25,안녕하세요 조재원입니다,171103,2700,224,346,2020.9.11,['안녕']
26,가짜사나이 2기 조재원 지원,282483,5000,366,1187,2020.8.18,"['사나이', '가짜', '지원']"
27,상황극에 중독된 여동생 비하인드 스토리,384512,8100,89,623,2020.8.14,"['스토리', '중독', '하인드', '상황', '여동생']"
28,유튜브 앞 광고 (돈 받았습니다),1854292,27000,682,2010,2020.8.7,"['튜브', '광고']"
29,남매세끼 플레이송+레전드편 모아보니 무슨 컨텐츠가싸우기만 함Feat 조재원 김유이 밥굽남 예콩이,226198,4700,56,361,2020.8.5,"['세끼', '플레이', '컨텐츠', '남매']"
30,재원x유이 '여기어때요' 원곡 볼빨간사춘기x폴킴,272273,7200,134,1610,2020.7.28,"['사춘기', '원곡']"
31,조재원 죽음의 ASMR 14탄 '술 취한 친구 편' Feat 소중이 터트리기,161330,4500,63,429,2020.7.24,"['죽음', '중이', '취한', '친구']"
32,재원x유이 소속사 계약 해지 당했습니다,313475,5000,106,379,2020.7.22,"['해지', '소속', '계약']"
33,실제 구독자에게 면전에 대놓고 고쳐야할 피드백 들어보기,336733,3500,65,616,2020.7.17,"['구독자', '실제', '피드백', '면전']"
34,서로 역할 바꿔서 하루 종일 살아본다면 소중함에 속아 익숙함을 잊지 말아라 특집 '남매세끼 19화',506923,9800,143,1009,2020.7.15,"['남매', '종일', '세끼', '역할', '하루', '서로', '특집']"
35,결국 삭발했습니다 조재원 죽음의 ASMR 13탄 '원칩 챌린지' Feat 낄낄상회 PAQUI ONE CHIP CHALLENGE,448882,8000,169,988,2020.7.10,"['죽음', '상회', '챌린지', '삭발', '결국']"
36,여수 길거리 한복판에서 벌어진 노래대결 '남매세끼 18화',219784,4400,57,463,2020.7.8,"['대결', '남매', '길거리', '노래', '세끼', '한복판', '여수']"
