,title,view,like,unlike,comment,date,token2
0,['숨겨진 보물상자 열쇠를 찾아라 무시무시한 전설 속 미라 피하기'],385410,8900,174,2674,2020.12.20,"['보물', '미라', '상자', '전설', '열쇠']"
1,['사람들이 많이 쓰는 인스타 필터 직접 만들어 봤습니다  (까꿍 달-다 필터 출시 )'],261371,9200,144,1602,2020.12.17,"['사람', '필터', '출시', '스타']"
2,['편의점에서 한 가지 색으로만 장보기 대결 '],344605,7600,323,1753,2020.12.15,"['편의점', '대결', '장보기']"
3,['현장체험학습 갈 때 꼭 있는 친구 유형 10가지'],493073,11000,298,3629,2020.12.12,"['친구', '학습', '현장', '유형', '체험']"
4,['호텔 조식 뷔페 만들어주기 우디의 깜짝카메라 [쿡소]'],634546,2000,277,7549,2020.12.10,"['조식', '카메라', '주기', '호텔', '뷔페']"
5,['배에서 꼬르륵 소리 날 때 유형 9가지 '],349775,7800,171,1857,2020.12.8,"['소리', '유형']"
6,['볼수록 소름 돋는 영상들 또 한 번 검증했습니다 (저주받은 계산기 밧줄 탈출 등)'],647405,13000,458,3892,2020.12.5,"['계산기', '영상', '소름', '밧줄', '탈출', '검증']"
7,['새 핸드폰 샀을 때 유형 여러분의 유형은'],929342,14000,783,4540,2020.12.3,"['핸드폰', '유형']"
8,['버거 브랜드별 혼밥회식 신혼여행 중인 고탱 성희와 함께'],677657,12000,377,3518,2020.12.1,"['중인', '신혼여행', '회식', '브랜드', '성희']"
9,['매운맛 vs 쓴맛 vs 느끼한 맛으로 편의점 장보기 대결 '],726658,11000,548,2655,2020.11.28,"['대결', '쓴맛', '편의점', '매운맛', '장보기']"
10,['스팸을 만들어 먹는다고 누구나 좋아하는 수제 햄치즈 햄버거 만들기 [쿡소]'],350838,8800,202,1719,2020.11.26,"['만들기', '햄버거', '수제', '치즈']"
11,['환불할 때 꼭 있는 유형'],533049,9500,284,1685,2020.11.24,"['환불', '유형']"
12,['화재 지진 태풍속에서 미션 숨바꼭질'],796009,14000,524,2456,2020.11.21,"['태풍', '지진', '화재', '미션', '숨바꼭질']"
13,['[웃소] 고탱&성희 결혼식 생방송 풀영상'],1061682,27000,575,4526,2020.11.14,"['성희', '생방송', '결혼식', '영상']"
14,['초중고 유형별 방과 후 모습 여러분은 어떤 유형인가요'],819143,13000,548,3374,2020.11.12,"['방과', '모습', '중고', '유형']"
15,['앞으로 꿔바로우는 그냥 사 먹는 걸로… 군침좔좔 꿔바로우 & 마라탕 만들기 '],378292,18000,284,2367,2020.11.10,"['마라', '군침', '만들기']"
16,['일주일 동안 서로 몰래 마니또하기 역대급 마니또 선물'],740451,13000,402,2007,2020.11.7,"['동안', '선물', '일주일', '마니또', '서로', '하기', '역대']"
17,['아이큐 높아지는 두뇌 퀴즈 10가지 각자 퀴즈로 대결하는 웃소의 퀴즈쇼'],330839,7200,206,1497,2020.11.5,"['대결', '아이', '두뇌', '퀴즈', '각자']"
18,['아니 도대체 이걸 왜 골라야하는거죠극한의 밸런스게임'],441711,9600,187,2357,2020.11.3,"['게임', '밸런스']"
19,['고구마 먹는 8가지 유형 (김치파 우유파)'],675172,1000,391,3720,2020.10.31,"['김치', '우유', '유형', '고구마']"
20,['먹어도 먹어도 끝이 없는 통연어장 연어국수로 먹기 '],634037,12000,328,2353,2020.10.29,"['어장', '연어', '국수']"
21,['인터넷에서 논란 중인 생활꿀팁들 다 검증해봤습니다 (컬러팝콘 만들기 체크카드로 문 열기 등)'],793795,19000,524,4261,2020.10.27,"['논란', '중인', '인터넷', '만들기', '생활', '팝콘', '카드', '열기', '컬러', '체크', '검증']"
22,['편의점에서 육 해 공으로 장보기 대결 '],614538,11000,611,3106,2020.10.24,"['편의점', '대결', '장보기']"
23,['결혼을 앞둔 성희에게 직접 부케 만들어주기  선택되면 결혼식에 진짜 들고 갑니다'],592300,13000,248,4841,2020.10.22,"['결혼식', '선택', '주기', '결혼', '성희', '부케']"
24,['피자 브랜드별 혼밥회식 페퍼로니 폭탄 피자부터 컵피자까지 온갖 피자 총집합'],964624,15000,500,3324,2020.10.20,"['총집합', '피자', '폭탄', '회식', '브랜드']"
25,['중고거래 할 때 있는 유형 13가지  어떤 유형이신가요'],754406,12000,460,2789,2020.10.17,"['거래', '가요', '중고', '유형']"
26,['떡볶이 위에 통오징어 5마리 각자 하나씩 뜯어먹는 통오징어 라볶이'],427209,9700,201,2407,2020.10.15,"['통오징어', '떡볶이', '오징어', '하나']"
27,['성희와 고탱의 프로포즈 영상 리액션 한참 주접 떨다가 펑펑 울어버림'],617578,18000,232,4636,2020.10.13,"['주접', '한참', '영상', '성희', '프로포즈']"
