,title,view,like,unlike,comment,date,token2
0,배틀그라운드에 보스몹이 나왔습니다.. 이거 배그 맞습니까?,235130,2900,96,,2020.12.15,['그라운드']
1,역사상 최초로 SMG가 1티어 총이 된 이유.. [배틀그라운드],334547,3200,88,307,2020.12.13,['이유' '사상' '최초' '그라운드']
2,역대급 인생맵 야간맵 업데이트 완벽 해부 갑니다 [배틀그라운드],473972,5100,136,550,2020.12.12,['인생' '해부' '완벽' '업데이트' '그라운드' '역대']
3,스트형한테 결국 폭발해서 한마디 했습니다,290678,3300,93,355,2020.12.11,['한마디' '폭발' '결국']
4,아니 이게 진짜 말이돼?,290070,3100,69,328,2020.12.10,[]
5,감크루 오디션을 다녀왔습니다..,845466,9100,164,1241,2020.12.9,['크루' '오디션']
6,외국인 패작 스트리머 신고 합니다,335507,3600,92,382,2020.12.8,['리머' '외국인' '신고']
7,딜량 올리는 꿀팁 .. 총을 못쏘면 딜량이 올라갑니다 [배틀그라운드],201274,2300,62,,2020.12.7,['그라운드']
8,뜨뜨뜨뜨가 탑 원딜을 하지 않으면 생기는 일 [리그오브레전드],214046,2000,58,209,2020.12.5,['리그']
9,죄송합니다 해서는 안될 행동을 저질렀습니다,604625,6100,174,626,2020.12.4,['행동']
10,모두가 원하고 있습니다 제발 이것만.. [배틀그라운드],321075,3000,94,506,2020.12.2,['그라운드' '모두']
11,초반 근접전 필승 10사기템.. 아직도 안쓰시는 분 있습니까? [배틀그라운드],228729,2500,62,268,2020.12.1,['사기' '초반' '근접전' '필승' '그라운드']
12,4명이서 막는 꿀집 혼자 박아서 뚫는법 [배틀그라운드],251161,2900,87,318,2020.11.30,['혼자' '그라운드']
13,망나니들 원딜로 혼내주는 사람 [리그오브레전드],179129,1800,118,261,2020.11.29,['망나니' '사람' '리그']
14,DMR그라운드? DMR은 거들뿐.. [배틀그라운드],197999,2400,58,268,2020.11.28,['그라운드']
15,탑에서 드레이븐 하는 사람 (진짜 개사기),198606,1600,66,,2020.11.27,['진짜' '사기' '사람']
16,이제 도저히 못쓴다는 5탄총 한번 써봤습니다 [배틀그라운드],276660,2700,81,,2020.11.26,['한번' '그라운드']
17,핵쟁이들 때문에 결국 핵으로 진화 했습니다.. [배틀그라운드],306952,3200,73,337,2020.11.25,['진화' '그라운드' '결국']
18,SLR너프? 솔로 경쟁전 SR로 조져봤습니다. [배틀그라운드],230960,2600,78,256,2020.11.24,['솔로' '그라운드' '경쟁']
19,베릴 너프에 대한 해결책 답은 베릴+2배율 입니다 [배틀그라운드],254231,2700,72,311,2020.11.23,['해결책' '배율' '그라운드']
20,배그인생 3년동안 최악의 경험.. 너무 충격적입니다 [배틀그라운드],368237,3900,134,358,2020.11.22,['인생' '경험' '최악' '충격적' '그라운드' '동안']
21,드디어 권총을 들어야 할 때가 왔습니다.. 보조무기 대격변 패치 [배틀그라운드],294951,3000,72,306,2020.11.21,['권총' '보조' '무기' '그라운드' '격변']
22,이래서 배그를 못 끊습니다 ㅋㅋㅋ [배틀그라운드],305575,3000,83,297,2020.11.20,['그라운드']
23,현재 픽률1위 승률 1위 개사기 말파이트 뚫는법 [리그오브레전드],255603,2100,101,236,2020.11.19,['사기' '파이트' '리그' '승률' '현재']
24,킬당 15만원 미션인데 경쟁전 최다킬 달성 실화냐? [배틀그라운드],370831,4600,127,625,2020.11.18,['최다' '미션' '실화' '경쟁' '달성' '그라운드']
