,title,view,like,unlike,comment,date,token2
0,유튜브가 낳은 괴물 『김재원』,97263,3300,66,961,2020.12.17,"['튜브', '괴물', '김재원']"
1,엄청나게 큰 모니터를 가져왔습니다 (세게장소),152879,3800,98,1318,2020.12.16,"['장소', '모니터']"
2,이 게임 한번해보세요 개꿀잼입니다ㅋㅋ (블랙서바이벌 영원회귀),83213,1800,89,542,2020.12.15,"['블랙', '개꿀', '게임', '영원', '회귀']"
3,김재원의 미친 오버워치 실력 ㄷㄷ,210653,4100,121,998,2020.12.14,"['오버', '실력', '김재원']"
4,오버워치 이거 꼭 한번만 해보세요 개꿀잼 입니다ㅋㅋㅋㅋ,192684,4000,102,1015,2020.12.13,"['오버', '한번', '개꿀']"
5,세상에서 가장 자연적인 키보드 마우스 (세게장소),328829,6700,152,1548,2020.12.12,"['키보드', '마우스', '자연적', '세상', '장소']"
6,저격하지 말아주세요...,181016,4500,140,1779,2020.12.11,['저격']
7,신이내린 즐겜유저 김재원의 즐겜워치 #27 (오버워치 하이라이트 영상모음),201448,4100,117,639,2020.12.10,"['김재원', '유저', '영상', '오버', '모음', '하이라이트']"
8,360만원 스콜피온의자 유튜버들한테 판매해봤습니다ㅋㅋㅋ(세게장소),335777,7300,161,1433,2020.12.9,"['장소', '의자', '판매']"
9,신이내린 즐겜유저 김재원의 즐겜롤 #1 (롤 하이라이트 영상모음),178121,3800,184,770,2020.12.8,"['김재원', '유저', '영상', '모음', '하이라이트']"
10,360만원 스콜피온 의자는 치명적인 단점이 있습니다... (세게장소),451007,9200,220,1495,2020.12.7,"['장소', '의자', '단점', '치명적']"
11,컴퓨터 사기 당하지말고 이 영상 보세요... (세게장소),194804,4900,85,977,2020.12.6,"['영상', '컴퓨터', '보세', '사기', '장소']"
12,수만명을 놀라게한 여전한 김재원의 메이 실력ㄷㄷ,226882,4300,103,711,2020.12.5,"['여전', '실력', '메이', '김재원']"
13,실제로 써본 스콜피온 의자....이거 장난하나요? (세게장소),1435188,18000,559,4229,2020.12.4,"['장소', '실제', '의자', '장난']"
14,이 제품 제가 세계최초로 구매했습니다.. (세게장소),1497403,26000,1100,4746,2020.12.3,"['제품', '구매', '세계', '제가', '최초', '장소']"
15,이번에 오버워치 대표선수가 되었습니다...,172238,3800,101,1295,2020.12.2,"['오버', '대표', '선수']"
16,운전하다가 진짜 죽을뻔한 썰,176259,4200,107,733,2020.12.1,['운전']
17,무빙으로 인성질하는 인성질장인 김재원ㅋㅋㅋㅋ,169899,3200,128,701,2020.11.30,"['장인', '성질', '인성', '무빙', '김재원']"
18,패드립까지 하면서 핵해명을 해달라하네요 이건 아니죠...,301047,7000,168,2322,2020.11.29,"['해명', '하면서', '패드']"
19,제가 개발하고있는 SCP게임 최초로 공개합니다..,367447,9000,185,1961,2020.11.28,"['제가', '게임', '공개', '최초', '개발']"
20,내가 클럽 감주를 안가는이유....,92662,2600,54,496,2020.11.27,"['감주', '내가', '클럽', '이유']"
21,마인크래프트에 격리된 SCP를 직접 보러 가봤습니다...,223670,4500,127,872,2020.11.26,"['크래프트', '격리', '마인']"
22,대회에서 벌어진 김재원 트롤사건 해명하겠습니다...,168747,3200,186,743,2020.11.25,"['트롤', '사건', '대회', '해명', '김재원']"
23,한국에서 가장 저렴한 키보드를 구매해봤습ㄴ....(세게장소),361529,6500,167,1251,2020.11.24,"['장소', '키보드', '구매', '한국']"
