,title,view,like,unlike,comment,date,token2
0,딕션이 사기급으로 좋은 0개국어 임포스터ㄷㄷ님들 이거됨?,170390,5800,91,893,2020.12.18,"['국어', '포스터', '사기']"
1,공포의 딸 키우기ㅋㅋㅋ 키워봤자 소용도없는거.. 꿀잼이라 편집한게 1시간;,360766,8000,111,2421,2020.12.16,"['소용', '우기', '시간', '공포', '편집']"
2,항아리게임 뺨따구 후려치는 개꿀잼 게임^_^,321965,8300,106,1373,2020.12.15,"['게임', '뺨따구', '항아리', '개꿀']"
3,이 게임은 절대 19금 게임이 아닙니다. 진정하세요;;,442363,1000,213,1985,2020.12.14,"['게임', '절대']"
4,우주하마 신박한 편집자 모집 (원하는만큼의월급),375239,9800,83,1374,2020.12.13,"['편집자', '모집', '월급', '박한']"
5,눈치없으면 못깨는 게임 하다가 변태로 오해받았습니다,786443,14000,334,1354,2020.12.12,"['눈치', '게임', '오해', '변태']"
6,2D공포게임이 뭐가 무서워? 라고 생각하다가 오줌지렸습니다.,535240,13000,159,2324,2020.12.11,"['생각', '게임', '공포', '오줌']"
7,이 망할 토끼게임 때문에 스페이스바가 고장났어요 하,407441,8300,145,1419,2020.12.9,"['토끼', '스페이스', '게임']"
8,그저 화장실에 갔다왔을 뿐인... 임포스터ㅎㅎ,439444,9600,236,1617,2020.12.8,"['포스터', '화장실']"
9,100% 개빡치는 미친게임의 장인이 된 남자...,371439,8500,104,1431,2020.12.7,"['남자', '장인', '게임']"
10,캐릭터 2개를 동시에 조종하는 미친게임ㅋㅋㅋㅋ뇌녹음,490232,1000,133,1649,2020.12.6,"['조종', '캐릭터', '게임', '녹음', '동시']"
11,세포키우기 한일전 ????한국시청자들의 국뽕... 이정도일줄은 몰랐습니다,1233034,19000,885,2821,2020.12.5,"['시청자', '세포', '이정', '일전', '한국']"
12,개빡치네진짜로,483948,9800,153,1396,2020.12.4,[]
13,모태솔로 게임.. 추천한 시청자 강퇴시켰습니다ㅋㅋㅋㅋ후,621969,13000,195,2174,2020.12.2,"['추천', '솔로', '시청자', '게임', '모태']"
14,병맛☆ 커피를 쏟으면 안되는 게임 ☆Don't spill your coffee,381776,9400,133,1430,2020.12.1,"['게임', '커피']"
15,어몽어스에서 은영이 꼬시기ㅋㅋㅋㅋㅋㅋㅋ은영이반응ㅋㅋㅋ,418798,11000,341,3827,2020.11.29,"['반응', '은영']"
16,우주하마 숨겨왔던 배그 실력 공개합니다... 전 사실...,471202,13000,169,2730,2020.11.28,"['사실', '공개', '실력']"
17,어몽어스를 인공지능으로 PLAY 해봤더니...? ㅋㅋㅋㅋㅋ,439581,1000,211,1901,2020.11.27,['인공지능']
18,핵진지한 어몽어스 유저들 웃기기ㅋㅋㅋㅋ다 따라함,411986,9400,238,1552,2020.11.25,"['유저', '진지']"
19,IQ400 임포스터 파이팅맨의 화려한 언변술ㅋㅋㅋㅋ,374404,8600,147,1753,2020.11.24,"['포스터', '언변']"
20,너무나도 순진한 어몽어스 유저들 괴롭히기ㅋㅋㅋㅋ,506479,1000,242,1698,2020.11.23,['유저']
21,우주하마 여자친구랑,449091,1000,160,1435,2020.11.22,"['친구', '여자']"
22,시청자가 만든 어몽어스 우주하마 모드 해봤습니다ㅋㅋㅋㅋ,968256,19000,443,2073,2020.11.21,['시청자']
23,이것은 핵보다 더한 버그(!) 발견입니다. 이건미쳤잖아,460959,1000,195,2210,2020.11.20,"['버그', '발견']"
24,심리전1등 싸이코 임포스터 산토끼 - 우주하마 어몽어스,347784,8200,136,1193,2020.11.18,"['산토끼', '포스터', '심리전', '싸이코']"
25,개빡치는게임 너무 화나서 그랬습니다,369742,6500,123,1208,2020.11.17,['게임']
26,벤트 1회당 3만원 미션이요? 아파트사러갑니다다다...ㄹㅇ,758639,14000,363,2733,2020.11.16,"['아파트', '벤트', '회당', '미션']"
27,어몽어스 핵보다 더한 역대급 핵싸이코 ㄷㄷ아직도 손떨림;;,562407,11000,265,2738,2020.11.15,"['손떨림', '역대', '싸이코']"
